question_id,concept_id,question_text,difficulty,correct_answer
Q10000,C1002,Explain the concept of Calculus.,Easy,The fundamental concept of Calculus
Q10001,C1002,Explain the concept of Calculus.,Medium,Uses mathematical optimization for Calculus
Q10002,C1000,How do you compute eigenvalues of a matrix?,Medium,Solve det(A-λI)=0
Q10003,C1000,What is a rank of a matrix?,Easy,ad-bc
Q10004,C1000,How do you compute eigenvalues of a matrix?,Medium,Solve det(A-λI)=0
Q10005,C1001,Derive the formula for covariance.,Hard,Requires understanding of underlying mathematics in Probability
Q10006,C1001,Prove law of large numbers.,Hard,Requires understanding of underlying mathematics in Probability
Q10007,C1001,What is P(A|B) formula?,Easy,The fundamental concept of Probability
Q10008,C1001,Explain central limit theorem.,Medium,Uses mathematical optimization for Probability
Q10009,C1004,Explain the concept of Python Programming.,Hard,Requires understanding of underlying mathematics in Python Programming
Q10010,C1004,Explain the concept of Python Programming.,Easy,The fundamental concept of Python Programming
Q10011,C1003,Explain the concept of Statistics.,Easy,The fundamental concept of Statistics
Q10012,C1003,Explain the concept of Statistics.,Hard,Requires understanding of underlying mathematics in Statistics
Q10013,C1003,Explain the concept of Statistics.,Medium,Uses mathematical optimization for Statistics
Q10014,C1005,Explain the concept of Distance Metrics.,Medium,Uses mathematical optimization for Distance Metrics
Q10015,C1005,Explain the concept of Distance Metrics.,Medium,Uses mathematical optimization for Distance Metrics
Q10016,C1005,Explain the concept of Distance Metrics.,Easy,The fundamental concept of Distance Metrics
Q10017,C1005,Explain the concept of Distance Metrics.,Medium,Uses mathematical optimization for Distance Metrics
Q10018,C1020,Explain the concept of Activation Functions.,Easy,The fundamental concept of Activation Functions
Q10019,C1020,Explain the concept of Activation Functions.,Medium,Uses mathematical optimization for Activation Functions
Q10020,C1020,Explain the concept of Activation Functions.,Easy,The fundamental concept of Activation Functions
Q10021,C1020,Explain the concept of Activation Functions.,Hard,Requires understanding of underlying mathematics in Activation Functions
Q10022,C1020,Explain the concept of Activation Functions.,Medium,Uses mathematical optimization for Activation Functions
Q10023,C1021,Explain the concept of Backpropagation.,Easy,The fundamental concept of Backpropagation
Q10024,C1021,Explain the concept of Backpropagation.,Easy,The fundamental concept of Backpropagation
Q10025,C1021,Explain the concept of Backpropagation.,Easy,The fundamental concept of Backpropagation
Q10026,C1021,Explain the concept of Backpropagation.,Medium,Uses mathematical optimization for Backpropagation
Q10027,C1038,Explain the concept of Meta Learning.,Easy,The fundamental concept of Meta Learning
Q10028,C1038,Explain the concept of Meta Learning.,Easy,The fundamental concept of Meta Learning
Q10029,C1038,Explain the concept of Meta Learning.,Medium,Uses mathematical optimization for Meta Learning
Q10030,C1038,Explain the concept of Meta Learning.,Medium,Uses mathematical optimization for Meta Learning
Q10031,C1038,Explain the concept of Meta Learning.,Easy,The fundamental concept of Meta Learning
Q10032,C1037,Explain the concept of Neural Architecture Search.,Easy,The fundamental concept of Neural Architecture Search
Q10033,C1037,Explain the concept of Neural Architecture Search.,Medium,Uses mathematical optimization for Neural Architecture Search
Q10034,C1037,Explain the concept of Neural Architecture Search.,Hard,Requires understanding of underlying mathematics in Neural Architecture Search
Q10035,C1037,Explain the concept of Neural Architecture Search.,Hard,Requires understanding of underlying mathematics in Neural Architecture Search
Q10036,C1037,Explain the concept of Neural Architecture Search.,Medium,Uses mathematical optimization for Neural Architecture Search
Q10037,C1019,What is vanishing gradient problem?,Medium,Chain rule application
Q10038,C1019,What is an activation function?,Easy,Introduces non-linearity
Q10039,C1019,Compare sigmoid vs ReLU.,Medium,Chain rule application
Q10040,C1006,Explain the concept of Attention Mechanism.,Medium,Uses mathematical optimization for Attention Mechanism
Q10041,C1006,Explain the concept of Attention Mechanism.,Easy,The fundamental concept of Attention Mechanism
Q10042,C1025,Explain the concept of Autoencoders.,Easy,The fundamental concept of Autoencoders
Q10043,C1025,Explain the concept of Autoencoders.,Easy,The fundamental concept of Autoencoders
Q10044,C1025,Explain the concept of Autoencoders.,Medium,Uses mathematical optimization for Autoencoders
Q10045,C1025,Explain the concept of Autoencoders.,Medium,Uses mathematical optimization for Autoencoders
Q10046,C1022,Analyze computational complexity.,Hard,Requires understanding of underlying mathematics in Convolutional Neural Networks
Q10047,C1022,Explain receptive field calculation.,Hard,Requires understanding of underlying mathematics in Convolutional Neural Networks
Q10048,C1036,Explain the concept of Explainable AI.,Hard,Requires understanding of underlying mathematics in Explainable AI
Q10049,C1036,Explain the concept of Explainable AI.,Hard,Requires understanding of underlying mathematics in Explainable AI
Q10050,C1036,Explain the concept of Explainable AI.,Hard,Requires understanding of underlying mathematics in Explainable AI
Q10051,C1024,Explain the concept of LSTM Networks.,Easy,The fundamental concept of LSTM Networks
Q10052,C1024,Explain the concept of LSTM Networks.,Medium,Uses mathematical optimization for LSTM Networks
Q10053,C1024,Explain the concept of LSTM Networks.,Medium,Uses mathematical optimization for LSTM Networks
Q10054,C1023,Explain the concept of Recurrent Neural Networks.,Easy,The fundamental concept of Recurrent Neural Networks
Q10055,C1023,Explain the concept of Recurrent Neural Networks.,Medium,Uses mathematical optimization for Recurrent Neural Networks
Q10056,C1035,Explain the concept of Self-Supervised Learning.,Medium,Uses mathematical optimization for Self-Supervised Learning
Q10057,C1035,Explain the concept of Self-Supervised Learning.,Hard,Requires understanding of underlying mathematics in Self-Supervised Learning
Q10058,C1035,Explain the concept of Self-Supervised Learning.,Easy,The fundamental concept of Self-Supervised Learning
Q10059,C1035,Explain the concept of Self-Supervised Learning.,Easy,The fundamental concept of Self-Supervised Learning
Q10060,C1028,Explain the concept of BERT.,Medium,Uses mathematical optimization for BERT
Q10061,C1028,Explain the concept of BERT.,Medium,Uses mathematical optimization for BERT
Q10062,C1028,Explain the concept of BERT.,Easy,The fundamental concept of BERT
Q10063,C1030,Explain the concept of Diffusion Models.,Easy,The fundamental concept of Diffusion Models
Q10064,C1030,Explain the concept of Diffusion Models.,Medium,Uses mathematical optimization for Diffusion Models
Q10065,C1030,Explain the concept of Diffusion Models.,Easy,The fundamental concept of Diffusion Models
Q10066,C1030,Explain the concept of Diffusion Models.,Medium,Uses mathematical optimization for Diffusion Models
Q10067,C1030,Explain the concept of Diffusion Models.,Easy,The fundamental concept of Diffusion Models
Q10068,C1029,Explain the concept of GPT Models.,Medium,Uses mathematical optimization for GPT Models
Q10069,C1029,Explain the concept of GPT Models.,Easy,The fundamental concept of GPT Models
Q10070,C1029,Explain the concept of GPT Models.,Easy,The fundamental concept of GPT Models
Q10071,C1029,Explain the concept of GPT Models.,Easy,The fundamental concept of GPT Models
Q10072,C1026,Explain the concept of Generative Adversarial Networks.,Easy,The fundamental concept of Generative Adversarial Networks
Q10073,C1026,Explain the concept of Generative Adversarial Networks.,Medium,Uses mathematical optimization for Generative Adversarial Networks
Q10074,C1026,Explain the concept of Generative Adversarial Networks.,Easy,The fundamental concept of Generative Adversarial Networks
Q10075,C1026,Explain the concept of Generative Adversarial Networks.,Hard,Requires understanding of underlying mathematics in Generative Adversarial Networks
Q10076,C1026,Explain the concept of Generative Adversarial Networks.,Easy,The fundamental concept of Generative Adversarial Networks
Q10077,C1027,Explain the concept of Transformers.,Easy,The fundamental concept of Transformers
Q10078,C1027,Explain the concept of Transformers.,Medium,Uses mathematical optimization for Transformers
Q10079,C1027,Explain the concept of Transformers.,Medium,Uses mathematical optimization for Transformers
Q10080,C1027,Explain the concept of Transformers.,Medium,Uses mathematical optimization for Transformers
Q10081,C1032,Explain the concept of Cross-Validation.,Medium,Uses mathematical optimization for Cross-Validation
Q10082,C1032,Explain the concept of Cross-Validation.,Easy,The fundamental concept of Cross-Validation
Q10083,C1032,Explain the concept of Cross-Validation.,Hard,Requires understanding of underlying mathematics in Cross-Validation
Q10084,C1032,Explain the concept of Cross-Validation.,Hard,Requires understanding of underlying mathematics in Cross-Validation
Q10085,C1009,How to prevent overfitting in decision trees?,Medium,Uses mathematical optimization for Decision Trees
Q10086,C1009,What is Gini impurity?,Easy,The fundamental concept of Decision Trees
Q10087,C1009,Analyze time complexity of decision trees.,Hard,Requires understanding of underlying mathematics in Decision Trees
Q10088,C1009,What is entropy in decision trees?,Easy,The fundamental concept of Decision Trees
Q10089,C1009,What are pruning techniques?,Medium,Uses mathematical optimization for Decision Trees
Q10090,C1031,Explain the concept of Hyperparameter Tuning.,Easy,The fundamental concept of Hyperparameter Tuning
Q10091,C1031,Explain the concept of Hyperparameter Tuning.,Hard,Requires understanding of underlying mathematics in Hyperparameter Tuning
Q10092,C1031,Explain the concept of Hyperparameter Tuning.,Easy,The fundamental concept of Hyperparameter Tuning
Q10093,C1031,Explain the concept of Hyperparameter Tuning.,Easy,The fundamental concept of Hyperparameter Tuning
Q10094,C1010,Explain the concept of K-Nearest Neighbors.,Medium,Uses mathematical optimization for K-Nearest Neighbors
Q10095,C1010,Explain the concept of K-Nearest Neighbors.,Hard,Requires understanding of underlying mathematics in K-Nearest Neighbors
Q10096,C1010,Explain the concept of K-Nearest Neighbors.,Medium,Uses mathematical optimization for K-Nearest Neighbors
Q10097,C1010,Explain the concept of K-Nearest Neighbors.,Medium,Uses mathematical optimization for K-Nearest Neighbors
Q10098,C1010,Explain the concept of K-Nearest Neighbors.,Hard,Requires understanding of underlying mathematics in K-Nearest Neighbors
Q10099,C1007,What is R-squared?,Medium,Uses mathematical optimization for Linear Regression
Q10100,C1007,What is R-squared?,Medium,Uses mathematical optimization for Linear Regression
