student_id,question_id,correct,time_taken,attempts
STU1095,Q10253,1,119.13,1
STU1169,Q10642,1,138.59,1
STU1309,Q10684,1,56.02,1
STU1303,Q10634,0,13.95,2
STU1184,Q10976,0,428.24,1
STU1176,Q10344,1,87.07,2
STU1383,Q10143,1,64.32,1
STU1173,Q10281,0,217.08,3
STU1477,Q10643,1,75.8,2
STU1110,Q10010,1,111.53,1
STU1170,Q10965,0,23.97,1
STU1489,Q10466,1,102.45,1
STU1171,Q10322,1,65.46,1
STU1369,Q10698,1,72.15,3
STU1138,Q10654,0,14.05,2
STU1063,Q10889,0,20.45,1
STU1104,Q10878,0,408.03,3
STU1401,Q10151,1,31.36,1
STU1366,Q10148,1,46.4,1
STU1146,Q10127,0,471.4,1
STU1294,Q10628,1,85.63,1
STU1215,Q10356,0,449.68,1
STU1208,Q10591,1,57.89,2
STU1452,Q10840,0,22.63,4
STU1428,Q10641,1,103.33,1
STU1302,Q10493,1,43.52,1
STU1106,Q10906,0,380.74,1
STU1219,Q10672,0,24.51,3
STU1075,Q10726,0,11.49,1
STU1329,Q10384,1,153.5,1
STU1388,Q10753,0,20.88,3
STU1284,Q10489,1,68.26,3
STU1070,Q10232,1,78.41,2
STU1281,Q10592,1,60.0,1
STU1182,Q10414,0,7.41,1
STU1071,Q10420,0,10.58,4
STU1080,Q10282,1,43.85,2
STU1020,Q10123,1,100.87,1
STU1164,Q10777,0,20.69,1
STU1379,Q10651,0,418.09,1
STU1295,Q10078,1,48.29,1
STU1282,Q10287,0,20.23,1
STU1079,Q10681,0,442.27,1
STU1089,Q10573,1,34.05,1
STU1187,Q10686,0,11.92,1
STU1413,Q10719,1,61.38,1
STU1134,Q10430,0,17.59,4
STU1326,Q10662,1,68.72,2
STU1475,Q10035,1,99.77,3
STU1259,Q10919,0,22.34,2
STU1138,Q10192,0,312.43,2
STU1420,Q10114,1,82.89,1
STU1068,Q10290,1,32.53,1
STU1265,Q10470,0,16.62,1
STU1425,Q10032,1,44.52,2
STU1400,Q10339,0,325.52,1
STU1393,Q10647,1,76.28,1
STU1393,Q10031,0,29.25,1
STU1296,Q10690,0,23.54,1
STU1029,Q10645,0,26.25,2
STU1202,Q10497,1,48.4,1
STU1147,Q10862,1,74.19,1
STU1260,Q10716,0,8.68,1
STU1476,Q10499,1,40.54,2
STU1459,Q10338,1,38.74,2
STU1037,Q10443,0,19.22,3
STU1034,Q10825,0,13.95,1
STU1134,Q10785,0,440.48,1
STU1016,Q10680,1,55.79,1
STU1251,Q10960,1,88.09,3
STU1295,Q10744,0,23.05,1
STU1251,Q10042,1,129.96,1
STU1451,Q10756,1,44.12,1
STU1190,Q10008,1,111.02,1
STU1108,Q10174,1,102.11,1
STU1323,Q10730,1,73.94,1
STU1091,Q10082,0,22.99,3
STU1049,Q10473,0,20.1,3
STU1170,Q10637,1,67.21,2
STU1019,Q10673,0,6.67,2
STU1184,Q10717,1,135.26,3
STU1301,Q10013,0,23.55,3
STU1073,Q10337,1,80.8,1
STU1425,Q10912,0,30.14,1
STU1084,Q10251,0,20.12,1
STU1279,Q10506,1,125.59,2
STU1399,Q10330,1,119.35,3
STU1330,Q10920,1,137.39,1
STU1266,Q10505,0,283.95,4
STU1320,Q10429,0,226.41,4
STU1009,Q10509,1,54.41,1
STU1134,Q10099,1,42.1,2
STU1347,Q10684,1,27.24,1
STU1280,Q10527,1,65.38,1
STU1156,Q10635,0,170.49,2
STU1056,Q10845,0,27.87,1
STU1147,Q10424,0,24.94,3
STU1142,Q10717,1,37.41,1
STU1174,Q10876,1,62.88,3
STU1123,Q10182,1,50.28,1
STU1263,Q10116,0,13.14,1
STU1411,Q10963,0,172.7,4
STU1202,Q10769,1,75.27,1
STU1385,Q10620,1,80.83,1
STU1310,Q10508,0,442.27,1
STU1375,Q10709,1,38.67,1
STU1180,Q10513,0,10.37,1
STU1479,Q10805,0,18.01,1
STU1492,Q10341,1,82.14,1
STU1334,Q10545,1,114.36,3
STU1264,Q10208,1,111.43,1
STU1433,Q10985,1,93.12,2
STU1321,Q10299,0,11.22,1
STU1028,Q10553,1,143.71,1
STU1298,Q10485,1,26.7,3
STU1431,Q10532,0,20.74,3
STU1346,Q10474,0,192.99,1
STU1497,Q10617,1,32.82,3
STU1365,Q10202,1,145.1,2
STU1033,Q10367,1,89.89,1
STU1145,Q10087,1,140.81,1
STU1081,Q10331,1,46.51,1
STU1420,Q10406,0,475.94,4
STU1230,Q10713,0,382.23,1
STU1246,Q10112,0,294.13,4
STU1062,Q10638,1,65.11,3
STU1070,Q10960,0,346.06,1
STU1403,Q10392,0,221.61,1
STU1023,Q10199,1,34.65,2
STU1288,Q10931,0,20.97,1
STU1308,Q10978,1,132.7,1
STU1014,Q10629,0,266.77,1
STU1068,Q10858,0,300.1,1
STU1046,Q10350,0,27.37,4
STU1071,Q10956,1,71.33,1
STU1201,Q10338,1,82.07,1
STU1172,Q10977,1,119.53,3
STU1258,Q10040,1,94.21,3
STU1051,Q10984,1,118.02,3
STU1367,Q10222,1,129.44,3
STU1033,Q10219,1,64.31,1
STU1214,Q10662,0,22.64,1
STU1303,Q10854,0,23.53,1
STU1196,Q10027,1,40.17,3
